,Osama
0,-0.13168086111545563
1,0.054587289690971375
2,-0.025728141888976097
3,-0.06147189810872078
4,0.0013701184652745724
5,-0.053773436695337296
6,0.02591705322265625
7,-0.18809685111045837
8,0.2195678949356079
9,-0.08560410141944885
10,0.18146756291389465
11,-0.038477569818496704
12,-0.16179755330085754
13,-0.10885389149188995
14,-0.021864399313926697
15,0.03592589870095253
16,-0.20530954003334045
17,-0.14206936955451965
18,-0.05935276299715042
19,-0.04858120158314705
20,0.019332610070705414
21,-0.0006198839982971549
22,-0.021403394639492035
23,0.07593197375535965
24,-0.12505696713924408
25,-0.351007878780365
26,-0.14195969700813293
27,-0.17031729221343994
28,0.1260373741388321
29,-0.043824825435876846
30,0.05357014015316963
31,0.046121034771203995
32,-0.18955087661743164
33,-0.024238482117652893
34,-0.012361304834485054
35,0.08774790167808533
36,-0.05835803970694542
37,-0.018592601642012596
38,0.21665778756141663
39,0.05302353948354721
40,-0.13778650760650635
41,-0.0725332573056221
42,-0.0249238982796669
43,0.30202606320381165
44,0.13265590369701385
45,0.03133183717727661
46,0.037541020661592484
47,-0.06911660730838776
48,0.0958821177482605
49,-0.1781042069196701
50,0.07709507644176483
51,0.21856188774108887
52,0.1678854078054428
53,0.032716818153858185
54,0.08327005058526993
55,-0.14776408672332764
56,0.012174775823950768
57,0.11155450344085693
58,-0.3120846152305603
59,0.12235584855079651
60,0.09055312722921371
61,-0.038613416254520416
62,-0.07632680237293243
63,-0.00394861213862896
64,0.18481864035129547
65,0.1547936052083969
66,-0.12299350649118423
67,-0.10223948955535889
68,0.2302965670824051
69,-0.20944422483444214
70,0.027814464643597603
71,0.048735328018665314
72,-0.08460846543312073
73,-0.2600221633911133
74,-0.1780698597431183
75,0.0232260562479496
76,0.456988662481308
77,0.1983022689819336
78,-0.1211933046579361
79,0.03613924980163574
80,-0.15852898359298706
81,-0.09239684045314789
82,0.10470631718635559
83,0.0673874020576477
84,-0.08841373771429062
85,0.007193777710199356
86,-0.0621655248105526
87,0.04519021511077881
88,0.09577324986457825
89,0.04175853729248047
90,0.0022615035995841026
91,0.18563248217105865
92,-0.043218135833740234
93,-0.030481940135359764
94,-0.02413012832403183
95,-0.057203903794288635
96,-0.11323023587465286
97,0.04714512079954147
98,-0.036793775856494904
99,-0.03289363533258438
100,-0.013988851569592953
101,-0.06579174101352692
102,0.05524885281920433
103,0.05310722067952156
104,-0.1426391303539276
105,0.21386754512786865
106,0.07963034510612488
107,-0.031113620847463608
108,0.008947332389652729
109,-0.010812295600771904
110,-0.0847172737121582
111,-0.059609394520521164
112,0.17935793101787567
113,-0.2971460819244385
114,0.1909516155719757
115,0.1203187108039856
116,-0.006792712025344372
117,0.2061181515455246
118,0.0013597402721643448
119,0.10608502477407455
120,0.015935514122247696
121,-0.07117072492837906
122,-0.19896981120109558
123,-0.02685546688735485
124,-0.016650639474391937
125,-0.0381406731903553
126,0.03478116914629936
127,-0.010999826714396477
